Date,Brand Name(s),Product Description,Product Type,Recall Reason Description,Company Name
02/08/2020,Corinthian Foods,Uncooked Sweet Potato Crusted Alaska Pollack Nugget,"Food & Beverages, Fish",Mislabeling,Corinthian Foods
02/07/2020,Nuts ‘N More LLC,Plain Peanut Spread,"Food & Beverages,","Potential contamination with Listeria sp,",Nuts ‘N More LLC
02/06/2020,New Seasons Market,Grab N’ Go Vegetarian Lasagna w/Gluten Free Pasta,"Food & Beverages,",Undeclared Soy,New Seasons Market
02/04/2020,NutreBeef,NutreBeef Transition Pellet (MH),"Animal & Veterinary, Food & Beverages, Pet Food",May Contain Elevated levels of Monensin,Cargill Incorporated
02/04/2020,Whole Foods Market,Bundt Cake and Chocolate Dipped Cookies,"Food & Beverages,",Undeclared milk,Whole Foods Market
02/03/2020,Nopalina,Flax Seed Fiber Powder and Capsules,"Dietary Supplements, Food & Beverages, Nutritional Supplement, Foodborne Illness",Potential for Salmonella,Salud Natural Entrepreneur Inc
01/31/2020,Efficient,"Rompe Pecho EX, Rompe Pecho CF, and Rompe Pecho MAX liquid","Drugs,",due to Microbial Contamination,"Efficient Laboratories, Inc."
01/30/2020,Fresh Food Market Chef’s Recipe,Mushroom Barley Soup,"Food & Beverages, Allergens, Soup",Undeclared milk,"Bakkavor Foods USA, Inc."
01/29/2020,Beepa’s,Goulash starter,"Food & Beverages,",Undeclared milk,Beepa’s
01/29/2020,Nopalina,Nopalina Flax Seed Fiber (powder) and Nopalina Flax Seed Fiber (capsule) products,"Food & Beverages,",Potential to be contaminated with Salmonella,"Salud Natural Entrepreneur, Inc."
01/24/2020,King Vision,Laryngoscope Adapter,"Medical Devices,",Device exhibits a reversed image,King Systems
01/24/2020,Quesos La Ricura,Cheese,"Food & Beverages, Cheese/Cheese Product",May be contaminated with Shiga toxin producing E. coli,Quesos La Ricura
01/23/2020,"Morrison’s, Savannah Classics, Piccadilly",Cornbread Dressing and Bread Stuffing,"Food & Beverages, Prepared Food, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,"Savannah Food Company, Inc."
01/22/2020,"Premo, Fresh Grab",Sandwiches,"Food & Beverages, Prepared Food, Foodborne Illness",Due to potential contamination of Listeria monocytogenes,Lipari Foods
01/21/2020,Sham Gardens,Tahina,"Food & Beverages, Foodborne Illness",Potential to be contaminated with Salmonella,Five Star Food Inc.
01/21/2020,"ABH Nature's Products, ABH Pharma, Stocknutra.com, Inc.",Dietary supplement products,"Dietary Supplements,",Products are recalled because of violations of current good manufacturing practice regulations,"ABH NATURE’S PRODUCTS, INC, ABH PHARMA, INC., and STOCKNUTRA.COM, INC."
01/16/2020,AXIA Pharmaceutical,Sterile Drug Products,"Drugs,",Lack of Assurance of Sterility,"FUSION IV Pharmaceuticals, Inc dba. AXIA Pharmaceutcal"
01/16/2020,Yes To,Grapefruit Vitamin C Unicorn Paper Mask,"Cosmetics, Skin Care Products",Skin Irritation Complaints,Yes To
01/13/2020,"Premo,& Fresh Grab",Sandwiches,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"Lipari Foods, LLC"
01/10/2020,LIFEPAK 15,LIFEPAK 15 monitor/defibrillators,"Medical Devices,",Failure to deliver a defibrillation shock after the “Shock” button on the keypad is pressed,Stryker
01/10/2020,Taro Pharmaceuticals,"Lamotrigine Tablets, USP 100mg","Drugs,","Cross contamination with another drug substance, Enalapril Maleate","Taro Pharmaceuticals U.S.A., Inc."
01/08/2020,"LemonPrep®, PediaPrep®, Wave Prep, Cardio Prep","LemonPrep®, PediaPrep® and Wave Prep 4-ounce tubes and single use cups, Cardio Prep and Collodions, Collodion removers","Medical Devices,",Burkholderia cepacia,Mavidon
01/08/2020,Mylan,Nizatidine Capsules 150mg and 300mg,"Drugs,",NDMA (Nitrosodimethylamine) impurity,Mylan N.V.
01/08/2020,Fresh Location,Protein snack tray and protein trail mix,"Food & Beverages, Snack Food Item, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Fresh Location
01/08/2020,Northwind,Ranitidine Tablets 150mg and 300mg,"Drugs,",NDMA (Nitrosodimethylamine) impurity,"Denton Pharma, Inc. dba Northwind Pharmaceuticals"
01/07/2020,ani,Ranitidine Tablets 150mg and 300mg,"Drugs,",NDMA (Nitrosodimethylamine) impurity,Appco Pharma LLC
01/06/2020,Jeni’s,Cold Brew with Coconut Cream Non-Dairy Frozen Dessert,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",Undeclared milk,Jeni’s Splendid Ice Creams
01/06/2020,purely elizabeth,Chocolate Sea Salt Probiotic Granola,"Food & Beverages,",Undeclared walnuts,purely elizabeth
01/06/2020,"Premo, Fresh Grab",Wedge Sandwiches,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"Lipari Foods, LLC"
01/04/2020,Ducktrap River of Maine,Herring Center Cuts in Wine Sauce,"Food & Beverages, Allergens, Milk/Milk Product",Undeclared milk,Ducktrap River of Maine
01/03/2020,Wilbur,Dark chocolate covered cashews,"Food & Beverages, Allergens, Nuts & Nut Products",Undeclared wheat,Cargill
01/02/2020,"Limena, LLC",Salvadorean String Cheese (Quesillo Cheese) semi-soft cheese,"Food & Beverages, Cheese/Cheese Product",Potential to be contaminated with Listeria monocytogenes,"Limena, LLC"
12/31/2019,"Aurobindo Pharma USA, Inc.",Mirtazapine Tablets 7.5 mg,"Drugs,",Due to a label error on declared strength-bottles labeled as Mirtazapine 7.5 mg,"Aurobindo Pharma USA, Inc."
12/31/2019,None,Hard-boiled eggs,"Food & Beverages, Egg/Egg Product, Foodborne Illness",Product has the potential to be contaminated with Listeria monocytogenes,Meijer
12/31/2019,Sienna Bakery,Chocolate Turtle Brownie,"Food & Beverages,",May contain undeclared peanuts,Dianne’s Fine Desserts
12/31/2019,MiniMeal2Go,Protein pack and avocado toast,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,FiveStar Gourmet Foods
12/28/2019,Cece’s® Veggie Co.,Veggie Ramen with Chicken Broth,"Food & Beverages, Prepared Food",Product has the potential to be contaminated with Listeria monocytogenes,Veggie Noodle Co.
12/27/2019,Sprout Unlimited,Clover Sprouts,"Food & Beverages, Vegetable Products",May be contaminated with Escherichia coli O103 bacteria,Sprouts Unlimited
12/26/2019,Pro2Snax To The Max,Snack kits containing hard boiled eggs,"Food & Beverages, Prepared Food",Product has the potential to be contaminated with Listeria monocytogenes,Reichel Foods Inc.
12/24/2019,Dierbergs Kitchen,Salads and Remoulade,"Food & Beverages, Prepared Food",Product has the potential to be contaminated with Listeria monocytogenes,Dierbergs Markets
12/24/2019,Great American Deli,Egg salad sandwiches,"Food & Beverages, Prepared Food",Product has the potential to be contaminated with Listeria monocytogenes,Great American Deli
12/23/2019,Trader Joe’s,Egg salad and potato salad,"Food & Beverages, Prepared Food, Foodborne Illness",Product has the potential to be contaminated with Listeria monocytogenes,Bakkavor Foods USA
12/23/2019,"Almark, 7 Select, Best Choice, more","All hard-boiled eggs manufactured at the firm’s Gainesville, Georgia facility, including all retail, pillow pack, pouch pack, frozen diced, and protein kit products","Food & Beverages, Egg/Egg Product, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Almark Foods
12/20/2019,365 Everyday Value,Dark Chocolate Peppermint Sandwich Cremes & Dark Chocolate Caramel Sea Salt Sandwich Cremes,"Food & Beverages, Allergens",Undeclared milk and coconut,Whole Foods Market
12/20/2019,Esmea,Sesame tahini,"Food & Beverages,",Product has the potential to be contaminated with Salmonella,Esmea Foods
12/20/2019,"Almark, Nic’s, Rainbow Farms, Sutherland’s, Egggs Select",Hard cooked broken egg whites & hard cooked eggs,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,Almark Foods
12/18/2019,Lannett,Levetiracetam Oral Solution,"Drugs,",Bacillus subtilis,"Lannett Company, Inc."
12/17/2019,No Brand name Listed on Package,"Bull Platinum 30000, Stallion Platinum 30000, Rhino 7 Platinum 30000, Panther Platinum 30000","Drugs,",Presence of Undeclared Tadalafil,Motto International Corp
12/17/2019,Glenmark,Ranitidine Tablets 150mg and 300mg,"Drugs,",NDMA (Nitrosodimethylamine) impurity,"Glenmark Pharmaceuticals, Inc."
12/10/2019,CATSMO LLC,Cold Smoked Salmon (whole fillets and specialty cuts),"Food & Beverages, Fish, Foodborne Illness",Listeria monocytogenes,CATSMO LLC
12/08/2019,Tailor Cut Produce,Fruit Luau,"Food & Beverages, Snack Food Item, Foodborne Illness",Potential to be contaminated with Salmonella,Tailor Cut Produce
12/06/2019,White Castle,Frozen Cheeseburger and hamburger sliders,"Food & Beverages, Prepared Food, Foodborne Illness",Potential Listeria monocytogenes contamination,White Castle Frozen Food Division
12/06/2019,Truly Good Foods,South of the Border nut mix,"Food & Beverages, Allergens, Snack Food Item",Undeclared almond and soy,Tropical Nut and Fruit Co.
12/05/2019,Nancy Adams,Dark Chocolate Graham Crackers,"Food & Beverages, Allergens, Snack Food Item",Undeclared Milk,Nassau Candy Distributors
12/05/2019,Special Kitty,"Wet, canned cat food","Animal & Veterinary, Target Animal – Safety, Pet Food",Products don’t meet the Company’s quality and safety standards,The J. M. Smucker Company
12/03/2019,Lin’s Waha Int’l Corp,Suantianyangmei Waxberry and Bingtangyangmei Waxberry,"Food & Beverages, Allergens, Fruit/Fruit Product",Undeclared sulfites and cyclamates,Lin’s Waha Int’l Corp
12/03/2019,"President’s Choice, Marketside",Colorful Coleslaw,"Food & Beverages,",Potential Salmonella Contamination,"Dole Fresh Vegetables, Inc."
11/27/2019,Hodgson Mill,Unbleached Flour,"Food & Beverages,",Potential E. Coli Contamination,"Hodgson Mill, Inc."
11/27/2019,Wild Harvest,Organic All-Purpose Flour,"Food & Beverages,",Potential E.coli Contamination,UNFI
11/27/2019,Okami & Trader Joes,"Ready to eat sushi, salads and spring rolls","Food & Beverages,",Potential Listeria monocytogenes Contamination,"Fuji Food Products, Inc."
11/26/2019,B. Braun,Blood Administration Kits,"Medical Devices,",Potential leakage at joint between blood filter and tubing,"B. Braun Medical, Inc."
11/25/2019,Tuna King,Yellowfin Tuna Medallions,"Food & Beverages, Fish",Elevated Histamine Levels,Northern Fisheries LTD
11/22/2019,Amneal,"Ranitidine Tablets, 150 mg and 300 mg, and Ranitidine Syrup (Ranitidine Oral Solution, USP), 15 mg/mL","Drugs,",Due to potential N-Nitrosodimethylamine (NDMA) amounts above levels established by the FDA,"Amneal Pharmaceuticals, LLC"
11/22/2019,Whole Foods Market,Raspberry Cheesecake Italian Gelato,"Food & Beverages,",Undeclared egg,Whole Foods Market
11/21/2019,Tainy Vostoka,Dried Fruit Mix,"Food & Beverages,",Undeclared sulfites,Euroline Foods LLC
11/20/2019,Nabisco,Cheese Nips,"Food & Beverages,",Potential presence of plastic,Mondelēz Global LLC
11/19/2019,PrecisionDose,"Ranitidine Oral Solution, USP 150 mg/10 mL","Drugs,",Potential presence of N-Nitrosodimethylamine (NDMA) above levels established by the FDA,Precision Dose Inc.
11/15/2019,GSMS Incorporated,Ranitidine HCl 150mg and 300mg Capsules,"Drugs,",Potential presence of N-Nitrosodimethylamine (NDMA) above levels established by the FDA,"GSMS, Inc."
11/15/2019,Breakstone’s,Cottage Cheese,"Food & Beverages,",Potential presence of plastic and metal,Kraft Heinz Foods Company
11/14/2019,Quest,Beef Cat Food,"Animal & Veterinary, Beef/Beef Product, Pet Food",May be contaminated with Salmonella,"Go Raw, LLC"
11/13/2019,Marketside,Marketside Brand Creamy Cauliflower Parmesan Soup,"Food & Beverages, Soup",Undeclared fish and wheat,Kettle Cuisine
11/13/2019,Natural Grocers,Organic Soybeans,"Food & Beverages,",Potential to contain mold,"Vitamin Cottage Natural Food Markets, Inc."
11/13/2019,Payback®,"Feeds for rabbit, turkey/pheasant, swine, waterfowl","Animal & Veterinary,",Excess Magnesium,CHS Inc.
11/13/2019,Silver Bullet,Male Enhancement Capsules,"Dietary Supplements, Drugs,",Due to unapproved active ingredient (sildenafil),Nature’s Rx
11/11/2019,Fresh Seasons Kitchen,Veggie & Ranch Cups with cauliflower,"Food & Beverages,",Due to the potential risk of Listeria monocytogenes,"Taher, Inc."
11/08/2019,AHP,Ranitidine Liquid Unit Dose Cups,"Drugs,",NDMA (Nitrosodimethylamine) impurity,American Health Packaging
11/08/2019,Up2,Up2 THERE IS NO OTHER All Natural Libido for Men & Women Dietary Supplement,"Drugs,",Product is tainted with sildenafil,Med Man Distribution
11/08/2019,"Crazy Fresh, quick & easy, no brand name listed",Various fresh vegetables,"Food & Beverages,",Listeria monocytogenes,Russ Davis Wholesale
11/06/2019,Mill Stream Corp.,Cold Smoked Salmon,"Food & Beverages,",Clostridium botulinum,Mill Stream Corp.
11/06/2019,Whole Foods Market,Multiple Products,"Food & Beverages,",Listeria monocytogenes,Whole Foods Market
11/06/2019,Aurobindo & DG Health,Ranitidine,"Drugs,",NDMA (Nitrosodimethylamine),"Aurobindo Pharma USA, Inc."
11/05/2019,Viatrexx,Sterile injectable products,"Drugs,",Lack of sterility assurance,Viatrexx Bio Incorporated
11/05/2019,Wegmans,Vegetable blends served at self-serve cold bar,"Food & Beverages, Vegetable Products",Listeria monocytogenes,Wegmans
11/05/2019,No Brand name Listed on Package,Stir Fry Blends,"Food & Beverages, Vegetable Products",Listeria moncytogenes,"GHNW, LLC"
11/05/2019,Meijer,Vegetable Trays & Broccoli florets,"Food & Beverages,",Listeria monocytogenes,Meijer
11/05/2019,Keshav and Swan Brands,Dried dates,"Food & Beverages,",Undeclared sulfites,Peekay International Inc.
11/03/2019,"Mann, various private brands",Various vegetable products,"Food & Beverages,",Potential contamination with Listeria monocytogenes,"Mann Packing Co., Inc."
11/01/2019,King Arthur Flour,Unbleached All-Purpose Flour,"Food & Beverages,",E. coli O26,"King Arthur Flour, Inc."
11/01/2019,Fagron,LETS GEL KIT Convenience Packs,"Drugs,",Potentially contain microbial contamination in the non-sterile Suturagel,Fagron Inc.
10/31/2019,"Season’s Choice, Raley’s","Frozen raspberries, frozen berry mixes","Food & Beverages, Fruit/Fruit Product",Potential to be contaminated with Hepatitis A,Wawona Frozen Foods
10/31/2019,Nestle,Ready-to-bake refrigerated cookie dough products,"Food & Beverages,",Due to the potential presence of food-grade rubber pieces,"Nestle USA, Inc."
10/30/2019,"ICU Medical, Inc.","Lactated Ringer's Injection, USP and 0.9% Sodium Chloride Injection, USP","Animal & Veterinary, Drugs,",Due to the presence of particulate matter,"ICU Medical, Inc."
10/28/2019,"Great Lakes, more",Fresh apples varieties:,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"North Bay Produce, Inc."
10/28/2019,Golden Dragon Inc.,Chinese Almond Cookies,"Food & Beverages, Allergens",May contain undeclared milk,Golden Dragon Fortune Cookies Inc.
10/26/2019,Mylan Pharmaceuticals Inc.,"Alprazolam Tablets, USP C-IV 0.5 mg","Drugs,",Potential presence of foreign substance,Mylan Pharmaceuticals Inc.
10/25/2019,Novitium Pharma,Ranitidine Hydrochloride Capsules 150 mg and 300 mg,"Drugs,",May contain N-Nitrosodimethylamine (NDMA),Novitium Pharma
10/25/2019,"Lannett Company, Inc.","Ranitidine Syrup (Ranitidine Oral Solution, USP), 15mg/mL","Drugs,",Due to above levels of N-Nitrosodimethylamine (NDMA),"Lannett Company, Inc."
10/23/2019,"Dr. Reddy’s, Kroger, Walgreens, and others",Ranitidine Tablets & Capsules,"Drugs,",Contains N-Nitrosodimethylamine (NDMA),Dr. Reddy’s Laboratories Ltd.
10/23/2019,Sanofi,"Zantac 150, Zantac 150 Cool Mint, Zantac 75 (OTC Products)","Drugs,",May Contain N-Nitrosodimethylamine (NDMA),Sanofi
10/23/2019,Parivar,Dry Dates,"Food & Beverages, Fruit/Fruit Product",High Sulfite Content,Dilips Ceramics Inc dba Shivam Distributors
10/23/2019,Perrigo Company plc,Ranitidine (all pack sizes),"Drugs,",Presence of N-Nitrosodimethylamine (NDMA),Perrigo Company plc
10/23/2019,SWAN and KESHAV,DRY APRICOTS,"Food & Beverages,",Undeclared Sulfites,Peekay International Inc.
10/22/2019,Green Lumber,Dietary supplements for male sexual enhancement,"Drugs,",Contains Tadalafil,GL Holdings
10/18/2019,Johnson’s,Baby Powder,"Cosmetics,",Presence of asbestos,Johnson & Johnson Consumer Inc.
10/16/2019,Keshav,Dry Apricot,"Food & Beverages, Fruit/Fruit Product",Sulfites,Peekay International Inc.
10/15/2019,Mical Seafood,"Yellowfin Tuna loins, poke, steaks, ground meat and saku","Food & Beverages, Fish",Elevated levels of histamine,"Mical Seafood, Inc."
10/14/2019,Samurai,Furikake Popcorn,"Food & Beverages,",Undeclared fish,"Samurai, Inc."
10/10/2019,Arla,"Apetina Marinated Feta & Olives in Oil, Pitted","Food & Beverages, Fruit/Fruit Product",Potential to be contaminated with Clostridium botulinum,UNFI
10/10/2019,Schwan’s,Garlic Herb Shrimp,"Food & Beverages, Shellfish",Undeclared milk and soy,Fisherman’s Pride Processors Inc
10/10/2019,"Innoveix Pharmaceuticals, Inc.",Injectable Human Chorionic Gonadotropin (HCG) and injectable Sermorelin w/GHRP2,"Drugs,",Potential lack of sterility assurance,"Innoveix Pharmaceuticals, Inc."
10/10/2019,"Carolyn’s Cookie Company, Country Baking Co.",Frozen and refrigerated cookie dough products,"Food & Beverages,",Undeclared peanuts and walnuts,California New Foods
10/09/2019,Blue Bell,Butter Crunch Ice Cream,"Food & Beverages, Ice Cream/Frozen Dairy",Foreign object,Blue Bell Ice Cream
10/09/2019,Whole Foods Market,White Parkerhouse Rolls,"Food & Beverages,",Undeclared milk and egg,Whole Foods Market
10/09/2019,Tuscan Sun,Chicken salad sandwiches,"Food & Beverages,",Potential contamination with Listeria monocytogenes,Jumbo Foods Inc.
10/08/2019,Premo and Fresh Grab,Ham and cheese wedge sandwiches,"Food & Beverages, Prepared Food",Potential contamination with Listeria monocytogenes,Lipari Foods
10/08/2019,Plum and Sapphire,Microbore Infusion Sets,"Medical Devices,",Potential for small amounts of fluid leaking out of the air vents on the inline filters,"ICU Medical, Inc."
10/04/2019,Cornerstone,Frozen Blackberries,"Food & Beverages, Fruit/Fruit Product",Norovirus,Cornerstone Premium Foods
10/04/2019,Lunch Box; Fresh and Local,Chicken salad sandwiches,"Food & Beverages, Prepared Food",Potential contamination with Listeria monocytogenes,Grand Strand Sandwich Company
10/04/2019,Robin Hood Flour,All-Purpose Flour,"Food & Beverages, Bakery Product/Mix",E. coli O26,The J. M. Smucker Company
10/04/2019,"MoorMan’s®, ShowTec®",Lamb Creep DC,"Animal & Veterinary,",Product may contain high levels of copper,ADM Animal Nutrition
10/03/2019,King Arthur Flour,Unbleached All-Purpose Flour,"Food & Beverages, Bakery Product/Mix",E. coli O26,"King Arthur Flour, Inc."
10/03/2019,Ample Hills Creamery,Peppermint Pattie Ice Cream,"Food & Beverages,",Undeclared peanut,Ample Hills Manufacturing
10/02/2019,Distributed by: Super World Trading Inc.,Dried Date,"Food & Beverages,",Sulfites,Super World Trading Inc.
10/02/2019,CAPITAN K,Salmon slightly salted piece,"Food & Beverages,",Listeria monocytogenes,Euphoria Fancy Food Inc.
10/02/2019,"Lipari Old Tyme, Premo, Fresh Grab, Premo Signature",Chicken Salad and Chicken Salad Sandwiches,"Food & Beverages, Prepared Food",Potential contamination of Listeria monocytogenes,Lipari Foods
10/02/2019,Mical Seafood,Yellowfin Tuna,"Food & Beverages, Fish",Elevated levels of histamine,"Mical Seafood, Inc."
10/02/2019,Coborn’s,"Chicken containing products including sandwiches, pastas, salads, spread","Food & Beverages, Prepared Food",Potential contamination with Listeria monocytogenes,"Coborn's, Inc."
10/02/2019,"Deli Express, Market Sandwich, Market Artisan, more",Sandwiches,"Food & Beverages, Prepared Food",Potential contamination with Listeria monocytogenes,E.A. Sween Company
10/02/2019,"Mrs. Stratton’s, Star, Ballard’s Farm, Laura Lynn, more",Chicken and tuna salad products,"Food & Beverages,",Potential contamination with Listeria monocytogenes,Mrs. Stratton’s
10/01/2019,"SuperMom’s, Hometown Kitchen",Chicken Salad Sandwiches,"Food & Beverages,",Potential contamination with Listeria monocytogenes,Northern Tier Bakery LLC
10/01/2019,Glam Day,Nougat candy,"Food & Beverages, Candy/Gum (without chocolate)",Undeclared milk and egg,RONG SHING NY Trading Inc.
09/30/2019,Consider Bardwell Farms,"Dorset, Slyboboro and Experience Cheeses","Food & Beverages,",Listeria monocytogenes,Consider Bardwell Farms
09/30/2019,"Cellect®, Essentials Factor®",Multi Mineral & Vitamin Supplement Unflavored Powder Mix,"Food & Beverages,",Unsafe levels of Arsenic and Lead,Cellect Products Inc. and Oglethorpe Ltd.
09/30/2019,Whole Foods Market,Dorset cheese,"Food & Beverages,",Potential contamination of Listeria monocytogenes,Whole Foods Market
09/26/2019,RONG SHING NY Trading Inc.,GANCHI NAIWEITANGPIAN candy,"Food & Beverages,",Undeclared milk,RONG SHING NY Trading Inc.
09/26/2019,LemonPrep,Skin prepping lotion for enhancement of signal quality at electrode site,"Medical Devices,",Burkholderia cepacia,Mavidon
09/26/2019,TDBBS,Pig ear pet treat,"Animal & Veterinary, Food & Beverages, Animal Feed",Possible Salmonella contamination,TDBBS LLC
09/25/2019,Trail’s End,Trail’s End Chocolatey Caramel Crunch,"Food & Beverages, Snack Food Item","Contain almonds, cashews and pecans","Weaver Fundraising, LLC"
09/25/2019,Apotex Corp.,Ranitidine Tablets 75mg and 150mg,"Drugs,",Contain a nitrosamine impurity called N-nitrosodimethylamine (NDMA),Apotex Corp.
09/24/2019,TDBBS,Pig ear pet treat,"Animal & Veterinary, Animal Feed",Salmonella contamination,TDBBS LLC
09/24/2019,Captain K,Salmon slightly salted pieces,"Food & Beverages, Fish",Due to possible contamination with Listeria monocytogenes,Euphoria Fancy Food Inc
09/23/2019,"Carolyn’s Cookie Company, Country Baking Co.",Frozen and refrigerated cookie dough products,"Food & Beverages, Bakery Product/Mix",Undeclared peanuts and walnuts,California New Foods
09/23/2019,Gramco,Hog Grower Pellets,"Animal & Veterinary,",Contains levels of vomitoxin (a mycotoxin),"Gramco, Inc."
09/23/2019,Sandoz Inc.,Ranitidine Hydrochloride Capsules,"Drugs,","Due to an Elevated Amount of Unexpected Impurity, N-Nitrosodimethylamine (NDMA)",Sandoz Inc.
09/20/2019,Ultralyx,Ultralyx 24-16-5,"Animal & Veterinary, Animal Feed",Elevated levels of non-protein nitrogen (NPN).,Ridley Block Operations
09/20/2019,Roland,Red Lumpfish Caviar and Black Lumpfish Caviar,"Food & Beverages,",Potential to be contaminated with Clostridium botulinum,"Roland Foods, LLC"
09/19/2019,Torrent Pharma,"Losartan Potassium Tablets, USP and Losartan Potassium/Hydrochlorothiazide Tablets, USP","Drugs,",Due to the Detection of N-Methylnitrosobutyric acid (NMBA),Torrent Pharmaceuticals Limited
09/18/2019,Schwartz Brothers Bakery,Lemon Dessert Bars,"Food & Beverages, Prepared Food",Undeclared Egg,Schwartz Brothers Bakery
09/17/2019,Southeastern Grocers,Peanut Butter Cookies,"Food & Beverages, Snack Food Item",Undeclared peanuts,Southeastern Grocers
09/17/2019,Abbott,Calcilo XD® Infant Formula,"Food & Beverages, Baby Food Product",Inconsistency in aroma and color,Abbott Laboratories
09/16/2019,Gold Medal,Unbleached All Purpose Flour,"Food & Beverages,",E. coli O26,General Mills
09/16/2019,Macho,MACHO ARTIFICIAL PASSION FRUIT FLAVORED VITAMIN C LIQUID SUPPLEMENT,"Drugs,",Undeclared Tadalafil,Fitoterapia USA Inc.
09/13/2019,Urban Remedy,Salads and Wraps,"Food & Beverages, Prepared Food",may be contaminated with E. coli,Urban Remedy
09/12/2019,Ritter Sport,Ritter Sport -KAFFEESPLITTER,"Food & Beverages, Meal Replacements",Undeclared milk,Stark Group International
09/12/2019,FuPaiYuan,FuPaiYuan Matcha candy,"Food & Beverages, Candy/Gum (without chocolate)",Undeclared eggs and milk,RONG SHING
09/12/2019,FuPaiYuan,FuPaiYuan Nougat candy,"Food & Beverages, Candy/Gum (without chocolate)",Undeclared eggs and milk,RONG SHING
09/12/2019,KRS Global Biotechnology,Human Sterile Drug Products,"Drugs,",Lack of Sterility Assurance,KRS Global Biotechnology
09/12/2019,KRS Global Biotechnology,Animal Sterile Drug Products,"Animal & Veterinary,",Lack of sterility assurance,KRS Global Biotechnology
09/12/2019,Darmerica LLC,"Quinacrine Dihydrochloride, bulk API powder","Drugs,",Label mix-up,Darmerica LLC
09/11/2019,MDH,MDH SAMBAR MASALA,"Food & Beverages, Soup",Salmonella,House Of Spices India
09/11/2019,Hy-Vee,Mealtime Asian Entrees,"Food & Beverages, Prepared Food",Undeclared milk,Hy-Vee
09/11/2019,"Alfa International Seafood, Inc","Refrigerated, wild-caught yellowfin tuna loins","Food & Beverages, Fish",Potentially elevated levels of histamine or scombroid fish poisoning,"Alfa International Seafood, Inc."
09/10/2019,"Metrix, Baxter",Empty IV flexible containers (bag),"Medical Devices, General Hospital & Personal Use",Potential for leaking of the IV bag at the chamber divider rod,The Metrix Company
09/09/2019,Major Pharmaceuticals,Milk of Magnesia Oral Suspension 2400 mg/30 ml,"Drugs,",Microbial Contamination,Plastikon Healthcare
09/09/2019,Martha White,Cornbread and Muffin Mix,"Food & Beverages, Bakery Product/Mix",Possible presence of Gluten,Hometown Food Company
09/06/2019,Hospira Inc.,Bacteriostatic Water for Injection,"Animal & Veterinary, Drugs,",Potential Lack of Sterility Assurance,Hospira Inc.
09/06/2019,Udi's,Classic Hamburger Buns,"Food & Beverages,",Foreign Object White Plastic,Conagra Brands
09/05/2019,Natpara,Parathyroid Hormone for Injection,"Drugs,",Potential presence of rubber particulate,Takeda Pharmaceutical Company Limited
09/04/2019,QQ Fish,Fish Ball Products,"Food & Beverages, Fish",Undeclared Egg,Great One Trading Inc.
09/03/2019,Berkley & Jensen,Pig Ears,"Animal & Veterinary,",Potential to be contaminated with Salmonella,Dog Goods USA LLC
08/30/2019,AmEx Pharmacy,Bevacizumab 1.25mg/0.05mL 31G Injectable and Bevacizumab 2.5mg/0.1ml Normject TB Injectable,"Drugs,",Potential for non-sterility,"Pacifico National, Inc. dba AmEx Pharmacy"
08/30/2019,Hiland,Lemonade,"Food & Beverages,",Undeclared Milk,Hiland Dairy
08/29/2019,Balquis,Spice,"Food & Beverages, Spices, Flavors &  Salts",Excessive levels of lead,Makzemo LLC
08/29/2019,"The Milk Lady’s, Peaceful Baby, and Diges-Tea",Tea,"Food & Beverages, Coffee/Tea",Potential to be contaminated with Salmonella,"Mountain Mel’s Essential Goods, LLC"
08/28/2019,Infusomat,Infusion pump,"Medical Devices,",Potential Leakage,B. Braun Medical Inc.
08/27/2019,Pedia Smart,Soy vanilla beverage mix,"Food & Beverages, Meal Replacements",Undeclared milk,Nature’s One
08/27/2019,Brutus & Barnaby,Pig ears,"Animal & Veterinary,",Potential to be contaminated with Salmonella,Brutus & Barnaby
08/23/2019,QQ Fish,"Tofu style fried fish cake, Mushroom Fish ball","Food & Beverages,",Undeclared egg,Great One Trading Inc.
08/23/2019,Tainy Vostoka,Assorted dry fruits-apple,"Food & Beverages,",Undeclared sulfites,Krasnyi Oktyabr USA Inc
08/23/2019,Tainy Vostoka,Assorted dry fruits-Quince,"Food & Beverages,",Undeclared sulfites,Krasnyi Oktyabr USA Inc
08/22/2019,Whole Foods Market,Iced Sugar Cookies,"Food & Beverages, Bakery Product/Mix",Undeclared Egg,Whole Foods Market Stores
08/22/2019,Dechra Veterinary Products,Veterinary ophthalmic drug products,"Animal & Veterinary, Drugs,",Due to concerns of QA controls in the manufacturing facility,"Altaire Pharmaceuticals, Inc."
08/21/2019,AWERS,Grained Salmon Caviar,"Food & Beverages,",Potential Clostridium botulinum contamination,"AWERS, Inc."
08/16/2019,Chef Toby,Pig ears,"Animal & Veterinary,",Potential to be contaminated with Salmonella,Dog Goods USA LLC
